Finding ID,Source File,URL,Finding Type,Persona / Context,Best Details,What This Proves,Portfolio Potential,Resume Potential,Confidence,Use Caveat,Reviewed,Next Follow-Up,Notes
DF-0108,Notes Dec 16.docx,https://docs.google.com/document/d/1ZQfL9dDnPq8Jd55DloJhDNCVjMwC5lZd/edit?usp=drivesdk,Meeting Notes — ERIKA Sequence Handoff Confirmation + Sequence Cleanup,Morgan's pod; December (likely 2021); sequence cleanup + ERIKA handoff note,"Sequence cleanup notes: Engaged follow-up process (without tasks = last activity; with tasks = are they up to date?), In Contract March 2022 Salesforce report, Bad Fit sequence drop. Direct reports Julie and Jamie mentioned. Blog links shared with team. Salutation variable guidance. CRITICAL note at end: 'THANK YOU -- This was the assignment as we understood it, Erika had, Here’s how we attacked them.' This is Morgan's summary note to Bobby/Kristina explaining the CC's handling of the ERIKA sequence handoff — directly confirming the before/after transition.","This was the assignment as we understood it, Erika had, Here’s how we attacked them' — direct confirmation of the ERIKA → CC sequence transition in Morgan's own words to leadership",Very High — contains the direct quote confirming the ERIKA sequence handoff; this closes the before/after narrative in Morgan's own words,"Very High — ERIKA sequence transition confirmation, sequence cleanup, pod management, leadership communication",High,"This single quote ('Erika had, Here’s how we attacked them') is the clearest confirmation of the ERIKA baseline → CC rebuild narrative in the archive. Should be cited in any portfolio/resume context.",2026-05-02,,
DF-0109,Notes File 10_11 2021.docx,https://docs.google.com/document/d/1dtL6gNgU-wT_PKHTN-bJk7vCbGMi1FIv/edit?usp=drivesdk,Meeting Notes — Pod Coaching (Oct 11 2021),Morgan's pod; Oct 11 2021; customer onboarding + KPI coaching + November incentive,"One-on-one notes covering: customer onboarding coaching (class doing first yearbook, Gena/Sarah/Marilyn; software settings, checklist, portrait workflow, quarantine class photo issues with Lifetouch). Outreach KPI intro: meetings booked, conversions, call disposition, tasks, views and filters, sentiments (which sequences get best responses). November goals: 2 opps each; call push for two weeks with explicit reward at end ('REWARD AT THE END! DETAILS TBD. 5 calls per day, for the week. If you miss any of the days you're out.').",Pod coaching combining customer onboarding guidance + KPI accountability + gamified incentive design; shows Morgan connecting individual activity to team outcomes,"Medium-High — shows Morgan coaching at multiple levels: customer success, KPI literacy, and incentive design","Medium-High — pod management, KPI coaching, incentive design, customer onboarding support",High,"The call incentive structure (5 calls/day for the week, miss any day = out) shows Morgan designing accountability with clear rules and rewards — gamification applied to performance management.",2026-05-02,,
DF-0110,One on One Topics 6_8.docx,https://docs.google.com/document/d/1MQWjDcATl-5iVe1L2Yb5fTIutgHKGFjM/edit?usp=drivesdk,People Leadership — First Pod One-on-Ones (June 8),"Morgan’s first one-on-ones as pod lead; direct reports Stacey, Tevis, Jamie, Julie; onboarding to her leadership style","Welcome to the Pod -- this is new for both of us!' Morgan opens by sharing her origin with Bobby ('I was the ONLY blue out of the group, aside from Bobby himself... I think he and I have very similar mindsets'). Psychological safety statement: 'I want you to know that I'm always here for you. Sometimes really uncomfortable things come up that you might be scared to talk about... know that this is a safe space.' Individual notes: Stacey (numbers good, lots of catchup), Tevis (bids frustrating, needs better TX schools, Garland is local to her), Jamie (getting more accounts, appreciates all the tips), Julie (sequence trigger issue resolved). Leadership philosophy: 'I want to fit how you work, not make you fit into my workflow.' Hard boundary: 'Nooo low-value schools. Please. Just don't. $2500 hard limit.' Morgan's personal context shared: divorce, kids 13 and 11, COVID puppy.",First pod one-on-ones establishing leadership style and culture; psychological safety as foundation; individual rep contextualization; hard operational boundaries set with empathy; leadership philosophy in her own words,"Very High — Morgan’s inaugural leadership moment as pod lead, showing her management philosophy, empathy, and operational discipline all at once","Very High — people leadership, psychological safety design, first-team one-on-ones, leadership philosophy, team culture",High,"I want to fit how you work, not make you fit into my workflow' is a quotable leadership philosophy statement. Sharing personal context (divorce, kids) shows vulnerability-based leadership.",2026-05-02,,
DF-0111,One on Ones - Week of August 2.docx,https://docs.google.com/document/d/1UxtQqu2ISXdMy40wSLM6wVw3Gr7HHph_/edit?usp=drivesdk,People Leadership — Pod One-on-One Coaching (Aug 2 week),Morgan’s pod; August 2 week (likely 2021); sequencing goals + operational standards + Grammarly mandate,"Key items: 500 prospects target by month end; bulk edit caution ('coding errors in new sequences are not a big deal if no one is in it yet, but if we have to do that after people are there the bulk customizations will be lost'); CC two-prospect trick (CC-ing multiple contacts so all get sequence); Outreach dashboard review (active prospects, old sequences, task cleanup). Opp goals: team=100, pod=25, individual=4-6. Meeting attendance mandate. Grammarly mandate: 'I went to Journalism school and I used to be a writer and I use it, so I promise it’s not about anyone’s skill.' OOO procedures. 'This is the time to build better habits — inbox labels, Salesforce tasks, making sure you’re updating statuses.'","Pod management combining operational coaching, platform guidance, goal-setting, and professional standards; Grammarly mandate with empathy-first framing; 'I went to Journalism school' reveals Morgan’s writing background",High — rich operational coaching session showing Morgan managing both performance standards and team culture,"High — pod management, operational standards, goal-setting, professional standards, Outreach/Salesforce coaching",High,I went to Journalism school and I used to be a writer' is a notable background disclosure — explains her writing quality and sets expectations for the team without condescension.,2026-05-02,,
DF-0112,Sales Dev Brainstorm!.docx,https://docs.google.com/document/d/1tTYtJ2Z5Kdjag-rWXLEP2U836q3FMcrk/edit?usp=drivesdk,"Brainstorm — SDR Team Improvement (Early Career, Under Leo)","Morgan + SDR team; early career (supervisor = Leo, Head of Marketing); comprehensive improvement proposal","Morgan's most comprehensive early-career SDR improvement document. Six major sections: (1) Direct Mail: postcards to principals, hero kits for $7,500+ schools, post-demo thank-you cards, holiday cards for engaged prospects, state flyers; (2) Social Media by persona (Facebook/Twitter for parents, LinkedIn for principals, Instagram for content generation); (3) Marketo campaign fixes ('Bye for now' awkward, in-contract campaigns going out in rep names uncontrolled); (4) Meeting reform proposal (Leo's meetings 'mostly him talking while we listened... also awkward at times' — proposed brainstorm sessions and rep-led topics, including Morgan offering to lead an email optimization session); (5) Opportunity creation equity (SDR vs. inbound credit fairness, lost credit for school connections); (6) Marketing assets wish list (video series, master email collection, current case studies, statistics sheet). Full June-October SDR seasonal timeline proposed.","Comprehensive SDR system improvement thinking; direct mail, social selling, platform ops, meeting culture, equity, marketing assets, seasonal planning — all in one document; pattern of advocating for team improvement with specifics; meeting critique shows early leadership instincts","Very High — Morgan’s most comprehensive early SDR improvement proposal; same advocacy pattern as CC pitch and Social Media Presentation, confirming this is a career-long leadership behavior","Very High — early career leadership, systemic improvement thinking, social selling awareness, direct mail strategy, meeting culture reform, opportunity equity advocacy",High,Written under supervisor 'Leo' (Head of Marketing) — early career predecessor to the Bobby/Kristina era. Shows Morgan has been doing systems-level improvement advocacy from day one. Pairs with Social Media Presentation (DF-0100) as early-career leadership arc.,2026-05-02,,
DF-0113,Spring Sequence Feedback - Tickler and Pods.docx,https://drive.google.com/file/d/1mERocAPTziYLNAWFAuPHjPanN-shQ0lZ/view,VOC + Style Guide — Spring Sequence Feedback (Tickler + Pod Format),CC team; reps providing feedback; principals and PTA contacts as defined personas; input for Summer 2022 CC sequence rebuild,"Comprehensive voice-of-customer feedback compilation that directly drove the CC Summer 2022 sequence rebuild. Key rep feedback captured: 'no strict contracts sounds like we may have contracts'; 'no automated emails — caused general stress and confusion.' Persona voice guidance documented: Principals → formal tone, shorter emails preferred; PTA → casual tone, emojis OK. Style guide elements captured. Marketing asset requests documented. Tickler format structure. This document represents the primary feedback intake that informed Morgan and the CC's Summer 2022 overhaul of the sequence library.","Direct VOC intake driving a major sequence rebuild; documents brand voice standards by persona (formal vs. casual, emoji usage); proves Morgan and the CC were iterating based on real rep and market feedback — not just writing and shipping; style guide confirms systematic approach to voice consistency",Very High — primary VOC document feeding the Summer 2022 CC rebuild; proves data-driven content iteration and persona-specific voice strategy,,,,,,
DF-0114,"Sequence: Signed Up, Didn't Complete a Book (21-22).docx",https://drive.google.com/file/d/1IDyGSLG4Lj8F632kyOv8BF21x5HXenM3/view,"Sequence Copy + A/B Test Design — Signed Up, Didn't Complete (21-22)",Morgan + Jen; 21-22 school year; re-engagement outreach for schools that signed up but never completed their yearbook,"A/B test design for a compassionate re-engagement sequence targeting schools that signed up for TreeRing but didn't complete their book. Jen's Version A incorporated a Frozen II pop culture reference — Morgan noted she loves this version. Sequence designed around empathetic re-engagement: acknowledging the missed completion without blame, meeting schools where they are emotionally. Shows A/B testing framework applied to a sensitive outreach scenario with a warm, creative approach.",A/B testing applied to a sensitive re-engagement use case; Frozen II pop culture reference as creative differentiation; Morgan endorsing and evaluating colleague's creative work; compassionate voice as a design principle for re-engagement sequences,High — creative A/B test design for a nuanced re-engagement scenario; confirms Morgan's A/B testing practice and her editorial role in evaluating CC colleagues' work,,,,,,
DF-0115,"White Flag, Intro Templates.docx",https://drive.google.com/file/d/1FxPTIljmtQm2-RizdflVJBdnItiBIy3o/view,Sequence Copy — White Flag Last-Touch + SDR-to-AE Handoff Templates,CC team; dated 5.18.22; final-touch and handoff use cases for SDR workflow,White Flag last-touch sequence copy (final outreach attempt before abandoning a prospect) plus SDR-to-AE warm handoff introduction template. CC-dated 5.18.22 confirms this is from Morgan's active CC writing period. White Flag sequences demonstrate strategic thinking about the full prospect lifecycle — knowing when and how to make a final ask before releasing a prospect. Handoff template shows cross-functional awareness of the sales process beyond the SDR role.,"White Flag sequences as lifecycle strategy — demonstrates Morgan thinking about the full prospect arc, not just top-of-funnel; handoff template shows cross-functional sales process awareness; 5.18.22 dating confirms active CC writing period",Medium — confirms CC authorship of lifecycle and handoff templates; strong supporting evidence for full-funnel sequence strategy,,,,,,
DF-0116,HZ Follow Ups by District.xlsx,https://drive.google.com/file/d/19Htn4nM8q9Om1MnsbhJP2WO9sWA1gnaU/view,Territory Data — HZ Follow-Up Pipeline by District (Morgan Escott as Owner),"Morgan Escott listed as owner of all districts; major districts: Wake ($1.3M), Cobb ($789K), Fulton ($689K), and others","Large district-level HZ follow-up tracking spreadsheet. Sampled data confirms Morgan Escott is listed as owner of all major districts. Revenue figures by district align with verified claims: Wake $1.3M, Cobb $789K, Fulton $689K, and additional districts. Likely a Salesforce export used for territory-level HZ pipeline management. Similar to or a version of the HZ Follow Ups by District entry already captured in Verified Claims. File is very large; sampled rows only.",Morgan's named district ownership confirmed across all major revenue territories; revenue figures align with previously verified claims; likely a working Salesforce export used for territory management — not a one-off document,Medium — likely version duplicate of already-verified HZ district data; revenue figures align; confirms Morgan's territory ownership scope but no new metrics found beyond verified claims,,,,,,
DF-0117,TRL Event - Sequence Notes.docx,https://drive.google.com/file/d/1oXNkJLlzW4HYb9v8f4Ve8idnkgIOT1xv/view,Meeting Notes — TRL Celebrity Event Sequence Planning (Morgan Editorial Role),"Morgan in approval/proof role; Erika writing; Bobby (Sales VP) directing; celebrity guests: Lance Bass (with Vidyard ad), Lisa Loeb, Montell Jordan; Vidyard rights restrictions noted","Planning notes for TRL (TreeRing Live) celebrity event outreach sequence. Sequence design: time-based (7 days before, 2 days before, day of, day after); generalized for all audiences except Principal; not many emails; no personalization required beyond snippets. Celebrity content notes: Lance Bass filming a Vidyard ad for TreeRing — include in pre-event emails; rights restricted to email and official Facebook only. Responsibility: 'Erika will write. Morgan will proof, approve.' Timeline: Erika done ~Sept 15; Vidyard removed by Oct 5 so timing critical. After-event plan: Bobby gets attendance list; SDRs work non-attendees; attendees get reference snippets. If prospect replies to TRL sequence, they remain in their original sequence as well.","Morgan in formal proof/approval role over Erika's TRL sequence writing — editorial authority confirmed; event sequencing as a separate campaign type (time-based, low-personalization); demonstrates Morgan's involvement even in sequences nominally authored by Marketing; Vidyard ad integration shows Morgan's awareness of cross-channel campaign assets","High — establishes Morgan's editorial approval authority over Marketing-written sequences, directly supporting the three-layer sequence narrative",,,,,,
DF-0118,Sequence Training 2.docx,https://drive.google.com/file/d/19p4y0B_Lcl5O9ptSU2wMgHo6LxbkA10f/view,Training Script — Morgan Teaching Outreach Sequence Workflow (Session 2),"Morgan leading; SDR team trainees; covers bulk vs. one-by-one adding, CC trick, Sales Cycle sequences, PTA Council sequences, District sequences","Full training session script by Morgan. Key content: (1) Variables walkthrough — 'Don't freak out when you see a ton of brackets, just look at the preview'; (2) Morgan's personal workflow philosophy: 'I'm one of the very few people that work this way, but I don't do step edits here very often... I personally like applying my edits when I'm actually sending, in the actual email window. YES it does take more time... But I also get the reassurance that my words won't get erased'; (3) CC trick — CC multiple contacts at once through the whole sequence (underutilized and Morgan is actively pitching it); (4) Bulk adding from Salesforce via Contact Views; (5) Tags: 'Jen's amazing tag-work... I have literally never regretted adding a tag but I have definitely regretted NOT adding one'; (6) Sales Cycle Sequences — Time Specific Follow Up, Gone Silent, Sample Sent; (7) PTA Council Sequence as indirect approach to district; (8) District Sequence for inner workings research; (9) Outbox as final control layer. References 'Private Principal Spring Re-Approach' as a real sequence she built.",Morgan as primary Outreach trainer for the SDR team; reveals her personal sequencing philosophy and workflow preferences in her own words; CC trick as a creative productivity tip she personally advocates; confirms she built 'Private Principal Spring Re-Approach' and uses it live with trainees,"Very High — complete training script showing Morgan as the authoritative Outreach expert; her workflow philosophy, training style, and sequence knowledge in her own words",,,,,,
DF-0119,SDR Outreach Sequences - Master.xlsx,https://drive.google.com/file/d/12UtQ3NRcMMOOuiCrZLMdfsnE_5M6UXTh/view,Master Record — SDR Sequence Library Edit Log + Full Sequence Inventory (Morgan as Primary Maintainer),"Morgan as sequence library owner; Melanie, Jen, Kaelyn, Lindy, Bobby, Mike as edit requesters; January–April 2020 edit log; full SDR sequence inventory tab","Two major sections: (1) EDIT LOG — comprehensive record of all sequence edit requests Jan–Apr 2020. 20+ requests from the team; nearly all show 'Updated [date] ME' confirming Morgan executed the changes. Requesters include Melanie (typos, grammar, seasonal language), Kaelyn (Principal salutation style), Lindy (COVID sequence fixes), Bobby (email tracking question, COVID content merge), Jen (variant requests). Morgan makes calls on disputed items (e.g., Kristina's 50/50 on 'Teacher Appreciation' correction). (2) SEQUENCE INVENTORY — 30+ sequences listed: SDR Sales Cycle (4), SDR Hot Zone (4), SDR Persona (20+), each with 'Updated [date] ME' notation confirming Morgan as primary editor. New sequence requests also tracked with approval status, Morgan's written responses, and completion status.","Updated [date] ME' for 30+ sequences = the master attributton record for the entire SDR sequence library; Morgan as quality controller and execution arm for all sequence edits; Bobby directing high-level changes; Kristina's input occasionally overridden; new sequence ideation (Title 1 Advisor, Walk-Up breakout, Vice Principal) all tracked here",Very High — the strongest sequence ownership evidence in the archive: 30+ sequences with Morgan's initials as editor; ongoing quality control authority documented over an extended period,,,,,,
DF-0120,SIA - Prospecting Through Sequences.docx [Part 1],https://drive.google.com/file/d/11morkgVlh2d7nwKJXBBSeoCdZTj5ke2-/view,"Professional Development Notes — Outreach SIA Course (Sam Nelson, Class 1)",Morgan's notes; Sam Nelson = Outreach leader; SDR-focused course; certificate available,"Notes from SIA (Sales Innovation Accelerator) class by Sam Nelson, Outreach's expert. Key takeaways Morgan captured: evergreen skill sets; cold outbound benchmarks (20-25% set meeting rate = very successful for cold calling; email reply rates get harder further into sequence); prospect tagging strategy (4+ opens = tag and call them); personalization vs. relevance tradeoffs ('certain situations where relevance matters a LOT — if you identify them you can use a template and be just as effective as someone who spent an hour'); most problems = optimizing only one part of the system; cold outreach more effective than marketing for same prospect pool. 'Getting good at this opens SO MANY DOORS.'","Morgan investing in formal professional development from Outreach's own expert; benchmarks align with her actual reported reply rates (34% In Contract, 39% HZ Spring — both significantly above the 20-25% 'very successful' cold calling benchmark); shows she was studying industry best practice, not just iterating alone",Medium — professional development artifact; benchmarks provide useful context showing Morgan's actual metrics dramatically outperform the SIA 'very successful' threshold,,,,,,
DF-0121,SIA Class 2_ Agoge Sequence.docx,https://drive.google.com/file/d/1El_aCqwqqeHSnXYI6KAy3PC_oZAPfqnc/view,"Professional Development Notes — Outreach SIA Course (Sam Nelson, Class 2: Agoge Sequence)",Morgan's notes; Sam Nelson; continuation of SIA course; Agoge = highest-priority prospect strategy,"Notes from SIA Class 2. Agoge sequence design for highest-priority prospects. Key points: A/B testing is key; people open emails written by real people; first three touches build name recognition; social touches (LinkedIn) rarely get replies but are almost always seen; Hail Mary approach — jokes, GIFs, directness ('Samnelsoncontent.com'); last task design; change goal from close to referral for lower-priority prospects; '10 sequences or less, keep it simple.' 'Go with the simpler option unless there's a very good reason to add more.'",Agoge framework confirms Morgan's A/B testing practice documented elsewhere; 'keep it simple' philosophy aligns with Morgan's own sequence architecture choices; professional certification available,Medium — companion to SIA Part 1; A/B testing emphasis aligns with Morgan's documented A/B test design in other files,,,,,,
DF-0122,Template Idea.docx,https://drive.google.com/file/d/1vh4aoht2yLoL1Gt2znmJ3hMBJSXlmljX/view,Draft Placeholder — Template Idea Stub (Low Value),Morgan; early-stage template stub only,"Very short document: subject line variants ('Following Up, Smith Elementary' / 'Following Up?' / 'Following Up!'), a basic placeholder email body with 'Here's a list of why we're awesome: Slkdfj, Askdfj, Sdkfjh', Morgan signature and [Signature] block. This is a stub/placeholder for a template idea that was never developed or is an early brainstorm draft. No substantive sequence content.",Placeholder stub; not a completed sequence; low evidence value on its own,Low — incomplete template stub; no substantive evidence; log for completeness,,,,,,
DF-0123,TreeRing and COVID Template.docx,https://drive.google.com/file/d/1bpfeR25mV2P-TfGqkSnd6MjEOwRdXVmR/view,Sequence Copy — COVID-Era Re-Engagement + Cold Templates (Spring 2020),Morgan likely author; COVID spring 2020 context; two variants: reply follow-up and cold outreach,"Two COVID-era sequence templates. Template 1 (reply follow-up): 'I appreciate it, especially during this stressful time, and we'd love to help if we can :).' Features: Ship to Home ($2.99 flat fee vs. $7.99 standard), Changing Deadlines (print date change in a click, storefront stays open forever), Content & Inspiration (blog link), Digital Signing (e-sign feature). Ends with demo/phone call ask. Template 2 (cold outreach): Subject 'Is your yearbook company doing this for you?'. Opening: '...it's easy to lose hope. Please don't, because we're here for you <3.' Same four feature bullets. Closing: 'is your 19-20 yearbook already complete or is there anything we can do to help?' Both templates emphasize TreeRing's no-contracts / no-minimum-orders positioning. Warm, empathetic tone throughout.",COVID-era brand voice preserved: empathy + practical problem-solving; 'we're here for you <3' is a signature warm-voice moment; Ship to Home and Digital Signing as product differentiators; no-contracts positioning as a key competitive advantage during school disruption,Medium — confirms Morgan's COVID-era copywriting; empathetic product-focused voice under pressure; TreeRing competitive differentiators articulated clearly,,,,,,
DF-0124,Summer '20 - Sequence List.xlsx,https://drive.google.com/file/d/15MdW1RxbvqrbvE4EcCTGAHULMScQv11d/view,"Definitive Attribution — Summer 2020 Sequence Library (Morgan vs. Kristina, Named by Creator)","Creator/Owner column explicitly names Morgan or Kristina for every sequence; 39 total sequences; Outreach collection (HZ, Persona, Re-Approach) and audience (ES, MS/HS, K-12) also listed","The definitive sequence ownership document for Summer 2020. 39 sequences total, Creator column names each author explicitly. MORGAN (Creator = Morgan): 21 sequences — all Title 1 (ES PTA, ES Teacher, ES Principal, MS/HS Teacher, MS/HS Principal) across HZ, Persona 1st Touch, and Re-Approach collections; all Private School (CE/Teacher, Principal) across same three collections. KRISTINA (Creator = Kristina): 18 sequences — all general audience (ES PTA, ES Principal, ES Teacher, General Support Staff, MS/HS Principal, MS/HS Teacher) across HZ, Persona 1st Touch, and Re-Approach collections. This perfectly maps to the negotiated sequence split: Morgan = niche audience (Title 1 + Private School); Kristina = daily-driver general audience.",Definitive proof of the Morgan/Kristina sequence split: 21 Morgan (niche) vs. 18 Kristina (general). This is the primary documentary evidence for the three-layer sequence narrative. The Creator column naming is unambiguous attribution. Cross-references perfectly with Kristina Bobby To Do 1st Meeting negotiation prep (TR-0187) and Spring Sequence Feedback VOC (DF-0113),Very High — the single strongest attribution document in the archive for the sequence split; Creator column makes authorship unambiguous across the full Summer 2020 library,,,,,,
DF-0125,Summer '20 Sequences - Proofreading.xlsx,https://drive.google.com/file/d/1I97KULBa-D3ayxqJfFZebQQwebCBYsSf/view,Quality Control Record — Summer 2020 Sequence Proofreading (Morgan as Creator + Editor for Full Library),"Morgan created 21 sequences; Sheri, Melanie, Lindy proofread Morgan's; Morgan proofread ALL 18 of Kristina's sequences; Bobby review column shows all sequences went through Bobby approval","Proofreading tracking spreadsheet for all 39 Summer 2020 sequences. Morgan's 21 sequences: all went through Steps Planned, Rough Draft, Bobby Review (all Yes); proofreaders include Sheri, Melanie, Lindy with detailed line-by-line notes; Morgan responds to each note (e.g., 'Nope, no subject line on Step 2 just because it's being sent as a reply. So it'll have Re: + the subject line :).'). Kristina's 18 sequences: proofreader column consistently shows 'Morgan' — meaning Morgan reviewed and quality-controlled ALL of Kristina's sequences as well. Morgan's response to one note about Private Re-Approach: 'this is fair, there are a few tiny differences but not many! Will leave as-is for now but try to ponder more ways to differentiate in the fall.' Shows Morgan's editorial judgment and iterative thinking.","Morgan was BOTH creator of 21 sequences AND proofreader/quality controller for Kristina's 18 — she had editorial authority over the entire 39-sequence library. Proofreader notes show exceptional attention to detail (greeting styles, possessives, subject line logic). Morgan's written responses show editorial reasoning and judgment. Bobby's approval column confirms executive oversight.",Very High — extends Morgan's creative contribution from 21 sequences to editorial authority over all 39; combined with DF-0124 this proves Morgan was the primary quality controller for the entire Summer 2020 sequence library,,,,,,
DF-0126,"Sequence Email Dates, Draft.docx",https://drive.google.com/file/d/1C0HtoDAcVGWfRBK6jRl62ox_SxXpR49m/view,Sequence Planning — Outbound Email Send Calendar (Full School Year),"Morgan planning; Principal, PTA 1st Touch, PTA Re-Approach send date calendars; General Support Staff based on Principal; YBA based on PTA","Year-long sequence timing planning document. Maps exact email send dates for each sequence type across the school year: Principal sequence: Aug 8 → May 23 (18 email send dates); PTA 1st Touch: Aug 8 → May 31 (24 send dates); PTA Re-Approach: Aug 8 → May 25 (20 send dates). Notes: General Support Staff derives from Principal with 'a few changes'; YBA (Yearbook Advisor) derives from PTA with 'a few changes'. Shows Morgan planning the full outbound calendar at the strategic level, spacing touches appropriately through the school year.","Calendar-level strategic planning for the outbound sequence program — Morgan mapping the full school year cadence for multiple persona tracks; 18-24 send dates per persona shows depth of program planning; date spacing shows awareness of school calendar rhythms (back to school, winter break, spring season)",Medium — strategic sequence timing artifact; confirms Morgan's full-year program planning discipline; complements the sequence authorship documents,,,,,,
DF-0127,Fall Sequence TO DO.xlsx,https://drive.google.com/file/d/10NQjUIfIfDbS-07gqfJWnui-fwXUobCT/view,Sequence Planning — Fall 20-21 Niche Sequence Scope (Morgan's Writing Responsibilities),"Morgan's niche sequence planning list; Fall 20-21 school year; 22 sequences across Private School, Title 1, PTA/PTO Council, and District categories","Planning list for Morgan's Fall 20-21 sequence writing responsibilities. 22 sequences listed across niche audiences: Private School (ES/K-8 and MS/HS/K-12, Principal and CE/Teacher, 1st Touch and Re-Approach = 8 sequences); PTA/PTO Council (1st Touch and Re-Approach = 2 sequences); Title 1 (ES and MS/HS, Parent/PTA, Teacher, Principal, 1st Touch and Re-Approach = 10 sequences); District (1st Touch and Re-Approach = 2, noted 'Potentially not needed?'). One sequence noted as 'Rough Draft' status. This list defines the full scope of Morgan's niche sequence writing responsibilities for the 20-21 school year — distinct from and complementary to the Summer '20 list (DF-0124).",22 sequences planned across all niche audience types; confirms Morgan's niche writing scope for 20-21 is consistent with and expands on the Summer '20 library (DF-0124); 'Potentially not needed?' for District sequences shows Morgan's editorial judgment on scope; paired with DF-0124 this documents Morgan's sequence workload across two consecutive school years,High — scopes Morgan's 20-21 niche sequence responsibilities; confirms ongoing niche writing authority year-over-year,,,,,,
DF-0128,17-18 HZ Follow Up.docx,https://drive.google.com/file/d/1DruqC-y1Qik_tYT6fqFCSiZc1QkM7JQL/view,"Sequence Copy — Earliest Known HZ Sequence (CA Territory, 2017-18, Morgan-Authored)",Morgan (Calendly URL: calendly.com/morgan-treering); California territory; Santa Clara / San Mateo area; 2017-18 school year,"Morgan's earliest documented Hot Zone sequence — from the 2017-18 school year, predating all the CC era, leadership changes, and Kristina negotiation. Multi-step sequence targeting CA Hot Zone schools: Step 1 ('Hi {{first_name}}, hope your spring is off to a great start!') references nearby schools including Bullis Charter, Discovery II Charter, Pomeroy Elementary, Rocketship Los Suenos Academy, Summit Denali High; 'We're based right up in San Mateo' confirms CA territory; Calendly link (calendly.com/morgan-treering) confirms Morgan's personal outreach. Step 2: reply bump. Step 3: sample yearbook offer. Step 4 ('May/June?'): seasonal re-approach. Friendly, eco-aware brand voice consistent with later sequences.","Earliest known Morgan-authored HZ sequence — proves her sequence writing capability started from Year 1 of her tenure, not just the CC era; CA territory confirms she worked multiple geographies; consistent voice and structure with later sequences shows long-term writing discipline; personal Calendly URL is definitive authorship proof",High — establishes sequence writing as a career-long skill from Year 1 (2017-18); earliest HZ copy in the archive,,,,,,
DF-0129,"18-19 -- HZ Follow-Ups, 1st Touch.docx",https://drive.google.com/file/d/1R7k6f1JIG5VMQSixaAc2GOeMhYcIvzXP/view,"Sequence Copy — 18-19 HZ 1st Touch (TX Territory, Carrollton Area, Morgan-Authored)",Morgan; Texas territory; Carrollton area schools; 18-19 school year; multi-step 1st Touch sequence with customer testimonials embedded,"18-19 Hot Zone 1st Touch sequence for Carrollton, TX area prospects. Step 1: introduces Morgan and TreeRing ('flexible, eco-friendly publisher'), lists nearby schools (Blalack Middle, Country Place Elementary, L.F. Blanton Elementary, Kent Elementary, Rosemeade Elementary); no-cost/no-contracts/no-minimum-orders positioning; asks about 19-20 contract status. Step 2 (reply): video link (TreeRing in 2:08) + customer testimonials embedded directly in email body: Kendall Steele (East Jackson Middle), Anne Richardson (Caledonia High), Linda Toth (Riverbend Academy). Step 3: summer messaging; full TreeRing value proposition articulated ('We'll never ask you to estimate exactly how many books you'll need...We'll ship your books pre-sorted, because you deserve to not have to sort them yourself.').",Customer testimonials strategically placed in Step 2 (follow-up) rather than Step 1 (intro) — shows Morgan's sequencing logic for social proof; Texas territory confirms multi-geography HZ work; 'because you deserve to not have to sort them yourself' is a characteristic Morgan empathy voice moment; value prop articulation in Step 3 is polished and complete,Medium-High — 18-19 TX HZ sequence with embedded testimonials; confirms multi-geography HZ authorship and social-proof sequencing strategy,,,,,,
DF-0130,"18-19 -- HZ Follow-Ups, Spring, Previously Contacted.docx",https://drive.google.com/file/d/1s5GcUHysB6KsegQNJ0-Eq3Z9Uv-6R8Tl/view,"Sequence Copy — 18-19 HZ Spring Re-Approach (TX Territory, Azle Area, Previously Contacted)",Morgan; Texas territory; Azle area schools; 18-19 school year; spring re-approach for previously contacted prospects,"18-19 Hot Zone Spring Re-Approach sequence for Azle, TX area (Azle Elementary The Rock, Cross Timbers, Hoover, Silver Creek, Azle Christian). Step 1: warm re-approach ('I know it's been a while, but I hope you're doing well!'), local school references, asks about sample or demo. Step 2 (reply): video + same testimonials as 1st Touch (Kendall Steele, Anne Richardson, Linda Toth) but with Anne Richardson testimonial expanded to include 'my life is so much easier without debt hanging over my head'; Step 3: summer messaging with TreeRing full value prop. Slightly warmer/more personal tone than 1st Touch given prior contact history.",Companion to DF-0129 — same school year but tailored re-approach voice for prospects who've heard from Morgan before; testimonials slightly variant across the two sequences showing Morgan customizing assets by use case; 'without debt hanging over my head' in expanded testimonial targets a pain point specific to previously contacted buyers who may have budget concerns,Medium — companion re-approach sequence; confirms HZ sequence customization by prior contact status,,,,,,
