Source File,Finding Type,Best Details,Confidence,Use Caveat
Sequence Training 2.docx,Training Script — Morgan Teaching Outreach Sequence Workflow (Session 2),"Full training session script by Morgan. Key content: (1) Variables walkthrough — 'Don't freak out when you see a ton of brackets, just look at the preview'; (2) Morgan's personal workflow philosophy: 'I'm one of the very few people that work this way, but I don't do step edits here very often... I personally like applying my edits when I'm actually sending, in the actual email window. YES it does take more time... But I also get the reassurance that my words won't get erased'; (3) CC trick — CC multiple contacts at once through the whole sequence (underutilized and Morgan is actively pitching it); (4) Bulk adding from Salesforce via Contact Views; (5) Tags: 'Jen's amazing tag-work... I have literally never regretted adding a tag but I have definitely regretted NOT adding one'; (6) Sales Cycle Sequences — Time Specific Follow Up, Gone Silent, Sample Sent; (7) PTA Council Sequence as indirect approach to district; (8) District Sequence for inner workings research; (9) Outbox as final control layer. References 'Private Principal Spring Re-Approach' as a real sequence she built.",,
SDR Outreach Sequences - Master.xlsx,Master Record — SDR Sequence Library Edit Log + Full Sequence Inventory (Morgan as Primary Maintainer),"Two major sections: (1) EDIT LOG — comprehensive record of all sequence edit requests Jan–Apr 2020. 20+ requests from the team; nearly all show 'Updated [date] ME' confirming Morgan executed the changes. Requesters include Melanie (typos, grammar, seasonal language), Kaelyn (Principal salutation style), Lindy (COVID sequence fixes), Bobby (email tracking question, COVID content merge), Jen (variant requests). Morgan makes calls on disputed items (e.g., Kristina's 50/50 on 'Teacher Appreciation' correction). (2) SEQUENCE INVENTORY — 30+ sequences listed: SDR Sales Cycle (4), SDR Hot Zone (4), SDR Persona (20+), each with 'Updated [date] ME' notation confirming Morgan as primary editor. New sequence requests also tracked with approval status, Morgan's written responses, and completion status.",,
SIA - Prospecting Through Sequences.docx [Part 1],"Professional Development Notes — Outreach SIA Course (Sam Nelson, Class 1)","Notes from SIA (Sales Innovation Accelerator) class by Sam Nelson, Outreach's expert. Key takeaways Morgan captured: evergreen skill sets; cold outbound benchmarks (20-25% set meeting rate = very successful for cold calling; email reply rates get harder further into sequence); prospect tagging strategy (4+ opens = tag and call them); personalization vs. relevance tradeoffs ('certain situations where relevance matters a LOT — if you identify them you can use a template and be just as effective as someone who spent an hour'); most problems = optimizing only one part of the system; cold outreach more effective than marketing for same prospect pool. 'Getting good at this opens SO MANY DOORS.'",,
SIA Class 2_ Agoge Sequence.docx,"Professional Development Notes — Outreach SIA Course (Sam Nelson, Class 2: Agoge Sequence)","Notes from SIA Class 2. Agoge sequence design for highest-priority prospects. Key points: A/B testing is key; people open emails written by real people; first three touches build name recognition; social touches (LinkedIn) rarely get replies but are almost always seen; Hail Mary approach — jokes, GIFs, directness ('Samnelsoncontent.com'); last task design; change goal from close to referral for lower-priority prospects; '10 sequences or less, keep it simple.' 'Go with the simpler option unless there's a very good reason to add more.'",,
Template Idea.docx,Draft Placeholder — Template Idea Stub (Low Value),"Very short document: subject line variants ('Following Up, Smith Elementary' / 'Following Up?' / 'Following Up!'), a basic placeholder email body with 'Here's a list of why we're awesome: Slkdfj, Askdfj, Sdkfjh', Morgan signature and [Signature] block. This is a stub/placeholder for a template idea that was never developed or is an early brainstorm draft. No substantive sequence content.",,
TreeRing and COVID Template.docx,Sequence Copy — COVID-Era Re-Engagement + Cold Templates (Spring 2020),"Two COVID-era sequence templates. Template 1 (reply follow-up): 'I appreciate it, especially during this stressful time, and we'd love to help if we can :).' Features: Ship to Home ($2.99 flat fee vs. $7.99 standard), Changing Deadlines (print date change in a click, storefront stays open forever), Content & Inspiration (blog link), Digital Signing (e-sign feature). Ends with demo/phone call ask. Template 2 (cold outreach): Subject 'Is your yearbook company doing this for you?'. Opening: '...it's easy to lose hope. Please don't, because we're here for you <3.' Same four feature bullets. Closing: 'is your 19-20 yearbook already complete or is there anything we can do to help?' Both templates emphasize TreeRing's no-contracts / no-minimum-orders positioning. Warm, empathetic tone throughout.",,
Summer '20 - Sequence List.xlsx,"Definitive Attribution — Summer 2020 Sequence Library (Morgan vs. Kristina, Named by Creator)","The definitive sequence ownership document for Summer 2020. 39 sequences total, Creator column names each author explicitly. MORGAN (Creator = Morgan): 21 sequences — all Title 1 (ES PTA, ES Teacher, ES Principal, MS/HS Teacher, MS/HS Principal) across HZ, Persona 1st Touch, and Re-Approach collections; all Private School (CE/Teacher, Principal) across same three collections. KRISTINA (Creator = Kristina): 18 sequences — all general audience (ES PTA, ES Principal, ES Teacher, General Support Staff, MS/HS Principal, MS/HS Teacher) across HZ, Persona 1st Touch, and Re-Approach collections. This perfectly maps to the negotiated sequence split: Morgan = niche audience (Title 1 + Private School); Kristina = daily-driver general audience.",,
Summer '20 Sequences - Proofreading.xlsx,Quality Control Record — Summer 2020 Sequence Proofreading (Morgan as Creator + Editor for Full Library),"Proofreading tracking spreadsheet for all 39 Summer 2020 sequences. Morgan's 21 sequences: all went through Steps Planned, Rough Draft, Bobby Review (all Yes); proofreaders include Sheri, Melanie, Lindy with detailed line-by-line notes; Morgan responds to each note (e.g., 'Nope, no subject line on Step 2 just because it's being sent as a reply. So it'll have Re: + the subject line :).'). Kristina's 18 sequences: proofreader column consistently shows 'Morgan' — meaning Morgan reviewed and quality-controlled ALL of Kristina's sequences as well. Morgan's response to one note about Private Re-Approach: 'this is fair, there are a few tiny differences but not many! Will leave as-is for now but try to ponder more ways to differentiate in the fall.' Shows Morgan's editorial judgment and iterative thinking.",,
"Sequence Email Dates, Draft.docx",Sequence Planning — Outbound Email Send Calendar (Full School Year),"Year-long sequence timing planning document. Maps exact email send dates for each sequence type across the school year: Principal sequence: Aug 8 → May 23 (18 email send dates); PTA 1st Touch: Aug 8 → May 31 (24 send dates); PTA Re-Approach: Aug 8 → May 25 (20 send dates). Notes: General Support Staff derives from Principal with 'a few changes'; YBA (Yearbook Advisor) derives from PTA with 'a few changes'. Shows Morgan planning the full outbound calendar at the strategic level, spacing touches appropriately through the school year.",,
Fall Sequence TO DO.xlsx,Sequence Planning — Fall 20-21 Niche Sequence Scope (Morgan's Writing Responsibilities),"Planning list for Morgan's Fall 20-21 sequence writing responsibilities. 22 sequences listed across niche audiences: Private School (ES/K-8 and MS/HS/K-12, Principal and CE/Teacher, 1st Touch and Re-Approach = 8 sequences); PTA/PTO Council (1st Touch and Re-Approach = 2 sequences); Title 1 (ES and MS/HS, Parent/PTA, Teacher, Principal, 1st Touch and Re-Approach = 10 sequences); District (1st Touch and Re-Approach = 2, noted 'Potentially not needed?'). One sequence noted as 'Rough Draft' status. This list defines the full scope of Morgan's niche sequence writing responsibilities for the 20-21 school year — distinct from and complementary to the Summer '20 list (DF-0124).",,
17-18 HZ Follow Up.docx,"Sequence Copy — Earliest Known HZ Sequence (CA Territory, 2017-18, Morgan-Authored)","Morgan's earliest documented Hot Zone sequence — from the 2017-18 school year, predating all the CC era, leadership changes, and Kristina negotiation. Multi-step sequence targeting CA Hot Zone schools: Step 1 ('Hi {{first_name}}, hope your spring is off to a great start!') references nearby schools including Bullis Charter, Discovery II Charter, Pomeroy Elementary, Rocketship Los Suenos Academy, Summit Denali High; 'We're based right up in San Mateo' confirms CA territory; Calendly link (calendly.com/morgan-treering) confirms Morgan's personal outreach. Step 2: reply bump. Step 3: sample yearbook offer. Step 4 ('May/June?'): seasonal re-approach. Friendly, eco-aware brand voice consistent with later sequences.",,
"18-19 -- HZ Follow-Ups, 1st Touch.docx","Sequence Copy — 18-19 HZ 1st Touch (TX Territory, Carrollton Area, Morgan-Authored)","18-19 Hot Zone 1st Touch sequence for Carrollton, TX area prospects. Step 1: introduces Morgan and TreeRing ('flexible, eco-friendly publisher'), lists nearby schools (Blalack Middle, Country Place Elementary, L.F. Blanton Elementary, Kent Elementary, Rosemeade Elementary); no-cost/no-contracts/no-minimum-orders positioning; asks about 19-20 contract status. Step 2 (reply): video link (TreeRing in 2:08) + customer testimonials embedded directly in email body: Kendall Steele (East Jackson Middle), Anne Richardson (Caledonia High), Linda Toth (Riverbend Academy). Step 3: summer messaging; full TreeRing value proposition articulated ('We'll never ask you to estimate exactly how many books you'll need...We'll ship your books pre-sorted, because you deserve to not have to sort them yourself.').",,
"18-19 -- HZ Follow-Ups, Spring, Previously Contacted.docx","Sequence Copy — 18-19 HZ Spring Re-Approach (TX Territory, Azle Area, Previously Contacted)","18-19 Hot Zone Spring Re-Approach sequence for Azle, TX area (Azle Elementary The Rock, Cross Timbers, Hoover, Silver Creek, Azle Christian). Step 1: warm re-approach ('I know it's been a while, but I hope you're doing well!'), local school references, asks about sample or demo. Step 2 (reply): video + same testimonials as 1st Touch (Kendall Steele, Anne Richardson, Linda Toth) but with Anne Richardson testimonial expanded to include 'my life is so much easier without debt hanging over my head'; Step 3: summer messaging with TreeRing full value prop. Slightly warmer/more personal tone than 1st Touch given prior contact history.",,
Year to Year (1-4).xlsx,Source Data — Morgan vs. Jen Year-Over-Year Revenue + Opportunity Comparison (All 4 Years),"THE source document behind Morgan's verified revenue metrics. Side-by-side comparison with Jen (the other primary SDR). Key figures: MORGAN Opps Created — Year 1: $521,753; Year 2: $490,647; Year 3: $461,790; Year 4: $32,678; ALL TIME: $1,506,868. JEN Opps Created — Year 1: $398,534; Year 2: $496,620; Year 3: $486,297; Year 4: $34,566; ALL TIME: $1,416,017. Difference: Morgan +$90,851 all-time. MORGAN Likely Revenue — Year 1: $179,651; Year 2: $273,631; Year 3: $382,155; Year 4: $39,186; ALL TIME: $874,623. JEN Likely Revenue — Year 1: $141,828; Year 2: $268,322; Year 3: $187,309; Year 4: $17,740; ALL TIME: $615,199. Difference: Morgan +$259,423. Note: 'NEW NUMBERS W/SCHOOLDIGGER DATA' indicates these are refined estimates using school enrollment data to project book revenue.",,
MPP_ Pod Goals 21-22.xlsx,People Leadership — Pod Performance Dashboard + Rep Appreciation Tracker (21-22),"Monthly pod performance tracking spreadsheet managed by Morgan. August 2021 snapshot: Morgan's personal opp goal = 5, achieved = 5 (100%); team goal = 25, achieved = 16 (64%). Morgan's YTD 21-22: 12 opps / $68,980 value / $75,179 C/W vs. 20-21: 69 opps / $441,254 value / $311,323 C/W (year reflects early season). Tracks each rep: hours committed, activity goals (weekly calls + emails), prospects added, accounts active, opp goals, actual opps, YoY comparisons. THNKS tab: Morgan tracking her direct reports' gift preferences — Julie: GrubHub/Uber Eats ($18); Jamie: Amazon/Subway/Chick-fil-A/In-&-Out ($18); Tevis: Starbucks ($17.91). This detail confirms Morgan used personalized appreciation as a management tool.",,
Content Committee.xlsx,"CC Operations — Meeting Log, Awards Program, Outreach Tag Taxonomy, Template Review Pipeline","Full CC operational tracker. Sections: (1) Meeting Logs: 5 CC meetings Jan–Mar 2021 with Fireflies.ai recordings linked; (2) Awards: February 2021 'Most Likely to Create a Snippet' — Stacey K. wins with 10 new snippets; Tevis runner-up (6); Kristie updated 11 snippets (100% public); 52 snippets created in February total; (3) Organization: Complete Outreach tag taxonomy Morgan's CC built — collection names (Persona: Districts/Councils, Hot Zones, Local, Private, STEM, Green, Title 1) and tag categories (11+ Sales Cycle tags, competitor tracking for Balfour/Herff Jones/Jostens/Lifetouch/Walsworth/et al.); (4) Spring Templates: individual review tracker with columns for each CC member + Kristina approval + In Outreach + Public flags; Anna and Stacey each submitting multiple template ideas with Google Doc draft links; (5) Morgan listed as submitter of Summer 2021 and 21-22 example template ideas.",,
Transfer to Anna 04-17-23.xlsx,Offboarding Document — Morgan's Full Territory Transfer to Anna (April 2023),"Complete Salesforce account export of Morgan's territory transferred to Anna when Morgan left TreeRing in April 2023. Multiple districts covered: Prince William County Public Schools (largest, Morgan listed as Account Owner; schools ranging $1.1K–$38.2K estimated value including Battlefield High $38,259, Woodbridge High $21,408); Henrico County Public Schools; Newport News City Public Schools; Norfolk City Public Schools; Monongalia County Schools (WV); Harrison County Schools (WV); Portsmouth City Public Schools; Loudoun County; Chesterfield County; and numerous smaller districts. Account fields: Account Owner (Morgan Escott for all), Account Status (Open/Working/In Contract/Dead Opportunity/Bad Fit/Unresponsive/Researched/Bad Fit), Last Activity dates, Estimated Value, Hot Zone flag, Private school flag, Title 1 flag, Salesforce Account ID. Active pipeline accounts visible at departure (e.g., many 'Working' statuses with recent March–April 2023 last activity dates). In Contract examples: Brunswick High, Robert C. Byrd High, various Henrico County schools.",,
22-23 HZ Customers.xlsx,Reference Data — 22-23 HZ Customers in Wake County (Single-Row Reference),"Single-row reference file listing Wake County, NC HZ customer schools for 22-23: Apex Elementary, Brier Creek Elementary, Buckhorn Creek Elementary, Carpenter Elementary, Forest Pines Elementary, Green Hope Elementary, Hortons Creek Elementary, Jeffreys Grove Elementary, Lead Mine Elementary, Lincoln Heights Elementary, Morrisville Elementary, Neuse River Middle, Olds Elementary, Pleasant Union Elementary, Rolesville Elementary, Swift Creek Elementary, Vandora Springs Elementary, and Zebulon Middle.",,
Spring _23 Re-Approaches.xlsx,"Bulk CRM Prospect List — Spring 22-23 Re-Approach Campaign (Multi-District, Multi-Persona)","Bulk Outreach/Salesforce import file for Morgan's 22-23 spring re-approach campaign. Two sequences: 'General Support Staff (22-23) (Re-Approach) (YL)' (private schools nationwide: Atlantic Shores Christian, Mount Carmel, Cardinal Ritter, Norfolk Middle, etc.) and 'ES - Parent/PTA (22-23) (Re-Approach) (YL)' (PTA contacts across multiple HZ districts: Wake County, Cobb, San Ramon, Hamilton, DeKalb, Garland, Manhattan-Ogden, Papillion, Jessamine, Millard, Downey). Each row includes contact name, email, school, title, 'Good Contact?' and 'Tagged?' flags, and multi-tag field showing the prospect's full sequence history. Tag field documents entire outreach journey per prospect (e.g., 'Wake County HZ, PTA/Working, HZ PTA REAPPROACH, SpringTB2020, HZ: ES PTA Re-Approach, COVID-19 Spring Re-Approach, Title 1, 21-22, Parent Organization').",,
District Research.xlsx [Cobb County],Territory Research — Cobb County School Contact Database (Principal + Office Staff + PTA),"Comprehensive Cobb County, GA school contact database. For each school: Principal salutation/name/email, office staff name/title/email, PTA/PTSA type, school website, mascot, and school year start/end dates. Data appears updated through 2024-25 school year. Representative entries: Acworth Elementary (Principal Bertha Nelson), Addison Elementary (Principal Dustin Prather), Argyle Elementary (Principal Ashley Beasley), Austell Elementary (Principal Latoya Houston), Baker Elementary (Principal Alyssa Wilcox), Bells Ferry Elementary (Principal Victoria Pinckney). Cobb County is one of Morgan's confirmed major HZ districts ($789K estimated value per HZ Follow Ups by District).",,
Nationwide Hot Zones 2024 vs. My Districts.xlsx,Strategic Analysis — National HZ Comparison vs. Morgan's Districts (All 50 States + Canada),"Massive strategic analysis file (~1MB, national scope). Compares TreeRing's existing customer base against Morgan's HZ districts across all 50 US states and Canadian provinces (AB, AK, etc.). Fields: Billing State, District, Account Name, County, School Type, Opportunity Name, Private/HZ/Title 1 flags, Estimated Value, Lead Source, Print Ready/Sent To Printer/Print Process Status, and customer satisfaction scores (satExperience 1-10, satRecommend 1-10, satComments). Examples: Pine Street Elementary (AB, $3,065), Alak School (AK, $835), Dena'ina Elementary (Wasilla AK, $3,288, satisfaction: 8/8). File name 'Nationwide Hot Zones 2024 vs. My Districts' confirms Morgan was analyzing where national HZ potential overlapped with her existing territory.",,
To Import (Scrub Round 1).xlsx,CRM Data Quality — Wake County 123-School Import Prep (Competitor Intelligence + Contact Enrichment),"CRM import preparation file for Wake County schools ('Wake 123'). Fields: School Name, Website, Salesforce ID, Account Status, Mascot, Principal info (salutation, first, last, title, email), Office staff info (first, last, title, email), Yearbook teacher info (up to 2 teachers), School Nickname, PTA website/name/emails, Publisher (competitor), Price, Is YB Advisor?, YB Name, Photographer, Notes. Key competitive intelligence visible: Apex Middle (using Herff Jones, $39 price, 'smaller club of about 12 students'), Athens Drive High (using Walsworth, award-winning Torch yearbook, CSPA Crown finalist and NSPA Pacemaker finalist). 'Scrub Round 1' label indicates systematic data quality process before bulk Salesforce import.",,
Nationwide Hot Zones 2024 vs. My Districts.xlsx [analysis note],Evidence Note — Morgan's Analytical Scope Beyond Typical SDR,"The 'Nationwide Hot Zones 2024 vs. My Districts' file is ~1MB covering every US state and Canadian province, combining TreeRing's customer satisfaction data with HZ opportunity mapping. For a single SDR to build and maintain a national-scope competitive analysis of this kind is atypical. Normal SDR responsibilities are territory-focused; this file shows Morgan thinking at company-wide strategic scale about where HZ program could expand. Satisfaction scores embedded suggest Morgan was evaluating prospect quality before outreach, not just blasting sequences.",,
ALL HZ Schools-2021.xlsx,"Territory Management — Morgan's Full HZ Portfolio Decision (1,578 Schools: 942 Keep / 636 Give)","Morgan's full HZ territory optimization document from July 2021. Total scope: 1,578 schools across 100+ districts in 30+ states. She evaluated each district and decided Keep or Give (to Bobby or reassign). Notable decisions with personal annotations: Wake County (128 schools, NC) = 'Keep — Over my dead body lmao'; Gwinnett County (101 schools, GA) = 'Keep — Would like to keep this one specifically because of progress made last year'; Cobb County (60 schools, GA) = 'Keep — HIGH VALUE DISTRICT but high difficulty as well. Would like to take more time with this one and try again.'; Houston ISD (59 schools, TX) = 'Keep — Keep one district in TX for me? This is such a good one, I’d love to follow up myself.'; Menlo Park City (1 school, CA) = 'Keep — I WILL GET GINA AND TAMARA SOMEDAY'; VA districts (Prince William, Henrico, Newport News, Norfolk, 59-34 schools each) = Give. Multiple 'Give (to Bobby?)' entries for low-value single-school districts.",,
HZ Customer List April 2024.xlsx,HZ Sequence Infrastructure — District-by-District Proof Point Copy (Template Generator for {{snippet2}}),"Template generation spreadsheet powering the {{snippet2}} local reference variable in Morgan's HZ sequences. For each HZ district, pre-written copy in two formats: list ('Acworth Elementary, Addison Elementary...') and paragraph ('We have the pleasure of working with 12,000+ customers nationwide, 2,000+ schools in [state], and [X] schools right in [district]'). Example row: San Francisco Unified = 25 customers; generated sentence: 'We have the pleasure of working with 12,000+ customers nationwide, 2,000+ schools in California, and 25 schools right in San Francisco Unified.' Also confirmed: Wake County Schools (listed with numerous customers). 'Checkboxes Updated Spring 2024?' column confirms this file was actively maintained.",,
Spring Blog Articles.xlsx,Content Curation — Spring Sequence Blog Resource Library (~45 TreeRing Articles),"Curated library of ~45 TreeRing blog articles for use in spring sequences. Topics: yearbook marketing ideas, yearbook quotes, sports team photos, signing party playlists, yearbook ad selling, content audits, student-submitted photo editing, deadline management, motivating yearbook staff, etc. Articles are from blog.treering.com. This file shows Morgan curating value-add content to embed in sequences, not just selling to prospects but providing genuinely useful educational resources. Consistent with her Thought Leader Brainstorm (DF-0105) approach of building long-term trust through relevant content.",,
CC Notes_ Spring 2022 - Google Docs.png,"Screenshot — CC Working Doc Spring 2022 (Win-Back Sequence, Email Guide, Metrics Proposal)","Screenshot of Morgan's CC working doc for early 2022. Key items: (1) 'Signed Up, Didn't Do Book' sequence — ASAP by 1/14/21 (this connects to DF-0114); (2) 'Win-back sequence, OK to be finished by 1/26 per my one-on-one with Bobby yesterday' — confirms Bobby-Morgan direct coordination on CC deliverables; (3) Email customization guide with doc link — 'This is a good start but I definitely want your input!'; (4) Fresh tickle file — Anna created, Morgan confirming to keep it updated; (5) 'We need to start familiarizing ourselves with Outreach stats so we can give Bobby reports on what's working and what's not. Which metrics will we want to start capturing, and how often?' — Morgan proactively proposing to build a metrics reporting function for the CC.",,
"18-19 HZ Principals, 1st Touch.docx","Sequence Copy — 18-19 HZ Principal 1st Touch (Multi-Step, Seasonal, Morgan-Authored)","Four-step HZ Principal 1st Touch sequence from 18-19. Step 1: 'SUBJECT: Yearbook at {{company_name}}? Hi Principal {{last_name}}, My name is Morgan...' uses {{snippet2}} for nearby school references, asks for referral to appropriate person. Step 2 (reply): video + testimonials + open question. Step 3: Follow-up on selection process; P.S. 'Have a fabulous Valentine’s Day <3' (seasonal). Step 4: Contract status follow-up + flexible response menu (pricing, references, sample book, software tour); closing P.S.: 'With TreeRing, families can still purchase after the deadline. Even years later... You’ll never have to turn anyone away again.' Shows evolution from earlier CA sequences (DF-0128) with more polished multi-step structure.",,
Screen Shot 2019-06-21 at 9.45.11 AM.png,Outreach Screenshot — 18-19 ENGAGED: Feb Clean-Up Metrics (morgan@treering.com Confirmed),"Outreach.io screenshot showing sequence-level metrics for '18-19 -- ENGAGED: Feb Clean-Up' run by morgan@treering.com (account confirmed in header). Metrics: PROSPECTS 30, CONTACTED 30 (100%), REACHED 26 (87%), REPLIED 8 (27%), OPTED OUT 1 (3%). The 87% reach rate (open/engagement) and 27% reply rate are from an engaged-prospect cleanup sequence in the 18-19 school year. Screenshot taken June 2019, suggesting this was an end-of-year review or reporting capture.",,
Screen Shot 2019-06-21 at 9.51.47 AM.png,Outreach Screenshot — Step-Level Metrics for 4-Step Sequence (up to 33% Reply per Step),"Outreach.io screenshot showing step-level performance for a 4-step sequence (likely an engaged/sales cycle sequence). Step data: Step 1 'Still a good time?' — 8 sent, 88% opened, 13% replied; Step 2 'Hi, just a quick bump!' — 6 sent, 83% opened, 33% replied; Step 3 'It’s (almost) official.' — 3 sent, 67% opened, 0% replied; Step 4 'Help updating notes?' — 3 sent, 67% opened, 33% replied. Step 2 and Step 4 both hit 33% reply. All steps maintained 67-88% open rate across the sequence.",,
WCPSS_Clerical_Staff_Directory.xlsx,"Territory Research — Wake County Clerical Staff Directory (Receptionists, Admin Assistants)","Staff directory for Wake County clerical and administrative staff, covering ~100+ WCPSS schools. Fields: school name, website, staff name, position, email address. Positions include: Receptionist, Bookkeeper, Administrative Assistant, Clerical Assistant. Schools covered include all major Wake County elementary, middle, and high schools. This file supports the General Support Staff persona outreach — Morgan was targeting the people who answer the phones and manage office communications, not just principals.",,
HZ Intro emails.docx,"Sequence Copy — HZ Intro 3-Step (Phone-to-Email Hand-Off, Calendly Confirmed)","Three-step HZ Intro sequence with a warm phone-to-email opener. Step 1: 'Hi {{First Name}}, My name is Morgan. I called {{company_name}}, and the woman who answered (who was very kind) said you might be the best person...' References Calendly link (calendly.com/morgan-treering) confirming Morgan's authorship. Value props: no contracts, no deadlines, no minimum orders, no cost to school. Step 2 (reply): Video link + casual call ask. Step 3: Custom pages pitch ('a really cool feature that's free to everyone, and makes the yearbook more relevant to social-media-minded communities'); flexibility + environmental pitch. Ends with 'Or alternatively, is there a better time of year to reach out?' — re-engagement door left open.",,
"18-19 HZ Principals, Previously Contacted.docx","Sequence Copy — 18-19 HZ Principal Re-Approach (5-Step, Milestone Hook, Morgan-Authored)","Five-step HZ Principal Re-approach for 18-19. Step 1: 'You might remember me — my name is Morgan' re-approach opener with {{snippet2}} local school reference. Step 2 (reply): Video + testimonials + product differentiator: 'One of the complaints we hear most often from schools is that their previous software...was difficult, time-consuming, and out-of-date. TreeRing's software is very much the opposite!' Step 3: Selection process question. Step 4 (milestone hook): 'We hit a new milestone: 2.5 million trees planted!' — milestone news as a reason to re-engage; eco-partnership with Trees for the Future; school certificate per yearbook sold. Step 5: Contract status + flexible response menu (pricing, references, sample, software tour).",,
"_ 18-19 HZ Parent Group, Not Sure If Involved.docx","Sequence Copy — HZ Parent Group Probe (2-Step, Uncertain Contact, Morgan-Authored)","Two-step probe sequence for HZ contacts where PTO/PTA involvement with yearbook is uncertain. Step 1: 'SUBJECT: {{company_name}} yearbook? Hi there, My name is Morgan, I'm hoping you might be able to help me! I checked the school website a few times, but I'm not sure if I'm in the right place -- I'm wondering if the PTO is involved with the yearbook? I ask because I'm reaching out from an eco-friendly yearbook company called TreeRing. We work with a few other schools nearby, and we'd love to send over a sample book :). Do you know who I might be able to speak with, or who manages things? If not, that's OK. I figure it never hurts to ask!' Step 2 (reply): 'Hi, good morning! Just curious if the {{snippet3}} assists with the school yearbook? If not and I'm in the wrong place, I'm so sorry for the bother -- just let me know and I'd be happy to update my notes!' {{snippet3}} variable likely = PTO/PTA organization name. No Calendly or video links -- deliberately minimal for an uncertain situation.",,
Wake_County_Schools_Information.xlsx,"Territory Research — Wake County School Directory (Principal + Lead Secretary, 40+ Schools)","Comprehensive Wake County school-level contact database. For each school: name, mascot, principal (first last, email in format firstname.lastname@wcpss.net), lead secretary (first last, email). Representative entries: Abbotts Creek Elementary (Principal Paula Trantham, Secretary Kendra Miller), Adams Elementary (Principal Steve Moore, Secretary Lisa Johnson), Alston Ridge Elementary (Principal Stacy DeShields, Secretary Karen White), Apex Elementary (Principal Angela Moose, Secretary Emily Davis). Covers 40+ WCPSS schools from elementary through high school. This database powered Morgan's principal-persona HZ outreach in Wake County — the primary contact information source for her most prized territory ('Over my dead body lmao', DF-0141).",,
Wake County PTAs.xlsx,"Territory Research — Wake County PTA Leadership Database (President, Treasurer, Secretary, 60+ Schools)","Detailed PTA leadership contact database for Wake County schools. For each PTA: website URL, and for each officer (President, Treasurer, Secretary, sometimes VP): full name and personal email address. Representative entries: Abbotts Creek Elementary PTA (President: Haven Bornhoft, Treasurer: David Bradshaw, Secretary: Meredith Smith); Harris Creek Elementary PTA (President: Ashley Schneider); Hortons Creek Elementary PTA (President: Allie Hartnett); Conn Elementary PTA (President Jennifer Guiffre + principal email also included). Some entries include principal contact cross-referenced. 60+ Wake County schools covered. This database powered Morgan's PTA/Parent persona HZ sequences in Wake County — her most active HZ territory.",,
Content Committee.pptx,CC Expansion Pitch — Formal Proposal to Bobby for CC Role in New Marketing Structure (May 2021),"Formal pitch deck Morgan made to Bobby when TreeRing announced new Marketing positions, requesting the CC be included in or formally designated for those responsibilities. Key slides: (1) Thank You — 'Listening to our perspective and recognizing our experience. Being so open to our ideas and projects. Giving us permission to re-organize, and create new processes. Allowing us to speak for the inbound and outbound salesteams, which is a huge responsibility but something we're thrilled to take on.' (2) Potential Overlap — pointed out that the new Marketing job descriptions overlapped with CC responsibilities around outbound content, open/click/reply rate reporting. (3) Our Proposal — 'We would love to play a part in these responsibilities moving forward! When you asked for the people who cared most about TreeRing's content to raise their hands and volunteer, it was us. We are the OG’s :).' Three possible solutions offered. (4) Why Consider Us? — 'Jen and I alone have 10 years of experience doing this.' 'We are volunteers doing this because we love it, we would and literally are do this for free :D.' (5) Final points — 'I’m good at outbound and management, but I also happen to be a great designer and writer!' 'We’ll get much better outbound sequence results (and sequence satisfaction) if the people writing them are actually in Outbound.' (6) Personal close to Bobby — 'No matter what I’ve brought to you, you’ve always listened without judgement. I feel incredibly grateful that we have a supervisor who creates a safe space.'",,
Content Committee - Recent Topics.docx,CC Meeting Notes — 'Get Our Voices Back' Source Document (Early CC Formation),"CC meeting notes from the early formation period. Key content: (1) Snippet and sequence organization — decided on Collections over Tags; proposed collection categories by grade (ES/MS/HS), by niche audience (HZ, High FRL, Private), by role (PTA, Principal, Teacher, Support Staff), by stage (1st Touch, Re-Approach, Nurture, Sales Cycle). (2) Writing requests — 'We would love to start writing our own template collection, if that is allowed? Can’t see what it would hurt, we’ll name them something so they don’t get confused with the others?' (3) CRITICAL QUOTE: 'Can our templates be considered for email steps? Overwhelming consensus is that we’d like to get our own voices back into the sequences again.' (4) Awards idea — 'NOT overly competitive, keep it lighthearted... Most Unique Snippet or Best Use of TreeRing Voice.' (5) 'Would like to invite Bobby to Committee Meeting regularly.' (6) 'WILL INVITE EVERYONE TO FRIDAY CALL.'",,
