Role / Company,Bullet Point,hidden_gem_score,hidden_gem_reason
Treering Yearbooks,"Engineered a centralized Salesforce reporting suite to monitor the full sales funnel, enabling the identification and recovery of $3M+ in stale pipeline through systematic data hygiene.",92.0,"The bullet combines technical architecture with a high-impact financial outcome, specifically highlighting the rare ability to turn 'stale' data into tangible revenue through systematic process improvement."
Treering Yearbooks,"Architected a district-level outreach strategy for PTA Councils using Outreach.io and Salesforce, achieving a 74% open rate and 22% reply rate across 300+ school segments.",92.0,"The bullet provides highly specific, quantifiable metrics that demonstrate both technical proficiency in enterprise sales tools and a sophisticated understanding of high-volume, segmented outreach strategy."
Treering Yearbooks,"Recovered $3M+ in stale Salesforce pipeline by executing a systematic 2023 data hygiene audit, re-prioritizing 2,025+ unworked accounts using value-based segmentation and custom Salesforce reporting.",92.0,"This bullet demonstrates high-level strategic impact by quantifying a massive financial recovery through a specific, repeatable process rather than just listing daily sales tasks."
Treering Yearbooks,"Standardized campaign content across 129+ sequences by chairing a cross-functional Content Committee, resulting in a 34% reply rate for high-priority 'In-Contract' nurture sequences.",92.0,"This bullet is exceptional because it quantifies both the operational scale (129+ sequences) and the specific, high-value business outcome (34% reply rate on 'In-Contract' leads) while highlighting leadership through a cross-functional committee."
Treering Yearbooks,"Synthesized qualitative research from 2,000+ accounts to build a high-performing email sequence library, achieving a 34% reply rate for in-contract segments by aligning messaging with educator pain points.",92.0,"The bullet demonstrates a sophisticated synthesis of large-scale qualitative data into actionable, high-conversion assets with a specific, impressive metric that directly links user empathy to business outcomes."
Treering Yearbooks,"Authored high-performing email sequences for K–12 leaders, blending ABM research with human-first messaging to achieve a 39% reply rate in high-priority district campaigns.",92.0,"The bullet combines a specific, high-impact metric with a sophisticated methodology that demonstrates both technical marketing prowess and a nuanced understanding of B2B sales cycles."
Treering Yearbooks,"Authored 100+ email campaigns and managed a sequence library in Outreach.io, achieving a 39% reply rate on HZ Spring sequences and 22% on PTA Council campaigns through segment-specific personalization and A/B testing strategies that drove consistent pipeline growth across niche K-12 audiences.",92.0,"The bullet provides highly specific performance metrics (39% and 22% reply rates) tied to distinct audience segments, demonstrating both technical proficiency in Outreach.io and a sophisticated, data-driven approach to niche B2B marketing."
Treering Yearbooks,"Authored 100+ email campaigns across niche K-12 segments, achieving up to 95% open and 54% reply rates while standardizing brand voice team-wide to drive consistent pipeline generation for Treering Yearbooks",92.0,"The combination of high-volume output with exceptionally rare, verified engagement metrics (95% open/54% reply) demonstrates elite-level copywriting and segmentation strategy."
Treering Yearbooks,"Optimized 100+ email campaigns in Outreach.io by A/B testing subject lines and send windows, achieving a 63% average open rate across 3,337 prospects during a single seasonal launch cycle",92.0,"The bullet provides highly specific, verifiable metrics that demonstrate both technical proficiency in a standard industry tool and a sophisticated understanding of conversion optimization within a time-bound seasonal context."
Treering Yearbooks,"Authored 100+ email campaigns using Outreach.io and Salesforce, achieving a 63% average open rate across 3,337 prospects by implementing conditional personalization and multi-touch sequencing logic for niche segments like Title 1 and Private schools.",92.0,The bullet combines high-volume execution with specific technical tooling and a sophisticated segmentation strategy that demonstrates a deep understanding of niche market conversion.
Treering Yearbooks,"Architected 129+ Outreach sequences using conditional logic, driving a 39% reply rate on Hot Zone campaigns and maintaining 60%+ open rates across 3,300+ prospects through rigorous A/B testing and CRM hygiene within a $15M portfolio managed via Salesforce integration.",92.0,"The bullet combines high-level technical architecture with specific, impressive KPIs and demonstrates a sophisticated understanding of CRM hygiene and lifecycle management that is rare for standard sales roles."
Treering Yearbooks,"Architected a VOC research program that collected 181 pages of SDR feedback, directly informing the 2022–2023 rebuild of 16 core sales sequences",92.0,"The bullet provides highly specific, quantifiable evidence of a feedback loop that directly influenced a major product roadmap, demonstrating rare cross-functional impact and strategic initiative."
Treering Yearbooks,"Audited Salesforce CRM data to identify $3M+ in stale pipeline, building custom dashboards and prioritization workflows that standardized territory management for 2,900+ accounts",92.0,This bullet demonstrates high-level analytical impact by quantifying a massive financial recovery ($3M+) and linking it directly to operational efficiency and scalable process improvement.
Treering Yearbooks,"Engineered Salesforce dashboards and G-Connector syncs to monitor 2,900+ accounts, enabling data-driven territory prioritization and surfacing $3M+ in previously unworked pipeline",92.0,This bullet is exceptional because it bridges the gap between technical implementation and high-stakes revenue impact by quantifying both the scale of the data managed and the specific dollar value of the recovered pipeline.
Treering Yearbooks,"Authored 100+ email campaigns across 6 niche personas, deploying Outreach.io to achieve a 63% average open rate and 8.7% reply rate across 3,337 prospects",92.0,"The bullet provides highly specific, granular data points—including persona segmentation and precise conversion metrics—that demonstrate both technical proficiency and a sophisticated understanding of lead engagement."
Treering Yearbooks,"Authored 16+ pandemic-era email sequences for niche K-12 segments, achieving a 63% average open rate and 8.7% reply rate across 3,337 prospects by prioritizing human-first messaging",92.0,"The bullet combines highly specific quantitative metrics with a clear strategic narrative, demonstrating both technical proficiency in email marketing and the nuanced soft skill of adapting tone for a sensitive, high-stakes environment."
Treering Yearbooks,"Authored 16 persona-based email sequences in Outreach.io to stabilize retention during 2020–2022, achieving a 63% average open rate and 8.7% reply rate across 3,337 prospects",92.0,"The bullet provides rare, granular data points—specifically the persona-based strategy and precise conversion metrics—that demonstrate high-level technical proficiency and strategic resilience during a volatile market period."
Treering Yearbooks,"Architected a Salesforce-synced account prioritization system that identified $3M+ in stale pipeline and enabled data-driven territory management for 1,500+ schools across 100+ districts",92.0,"This bullet demonstrates high-level strategic impact by quantifying the exact financial recovery of stale pipeline while showcasing the ability to manage complex, large-scale operational logistics."
Treering Yearbooks,Developed an ABM pilot for Adobe eSign that earned two senior-level promotion nominations and top-performer status within six months of hire at a B2B sales agency,92.0,"This bullet is exceptional because it quantifies performance through rare, high-signal social proof like promotion nominations and top-performer status rather than just standard revenue metrics."
Treering Yearbooks,"Architected a Salesforce-synced account prioritization system tracking 40+ data points, enabling targeted outreach that achieved a 39% reply rate on HZ Spring campaigns and 54% on private school segments across 2,000+ accounts managed simultaneously.",92.0,"This bullet is exceptional because it quantifies both the technical complexity of the architecture and the specific, high-impact conversion results across segmented audiences, demonstrating a rare blend of data engineering and sales strategy."
Treering Yearbooks,"Authored 14-step district ABM sequences for PTA Councils, achieving 74% open and 22% reply rates by pairing grassroots research with personalized, multi-touch outreach across 2,000+ schools",92.0,"This bullet is exceptional because it quantifies a complex, multi-channel ABM strategy with specific, high-performing engagement metrics and demonstrates a sophisticated understanding of the B2B2C sales cycle."
Treering Yearbooks,"Authored 100+ persona-based email campaigns in Outreach.io, achieving a 63% average open rate across 3,337 prospects by applying segment-specific messaging and behavioral triggers to drive engagement at scale across niche K-12 audiences.",92.0,"The bullet combines high-volume output with an exceptionally high, verifiable engagement metric and demonstrates sophisticated mastery of marketing automation tools and audience segmentation."
Treering Yearbooks,"Architected 16 persona-based sequence programs, achieving a 63% average open rate across 3,337 prospects by aligning messaging with educator-specific pain points and systematic A/B testing cycles",92.0,"The bullet provides a rare combination of high-level architectural strategy, precise quantitative outcomes, and a sophisticated understanding of audience-specific psychological triggers."
Treering Yearbooks,"Architected a 129-sequence library in Outreach.io, applying conditional logic and A/B testing to drive a 63% average open rate across 3,337 prospects during a seasonal launch campaign",92.0,"The bullet provides a rare combination of technical complexity (129-sequence library with conditional logic) and highly specific, high-impact performance metrics that demonstrate both operational scale and strategic execution."
Treering Yearbooks,"Architected 129+ Outreach.io sequences with conditional logic and persona-based segmentation, achieving a 63% average open rate across 3,337 prospects during a single seasonal launch cycle",92.0,"The bullet combines high-volume technical complexity with precise, verifiable metrics that demonstrate both strategic architecture and exceptional conversion performance."
Treering Yearbooks,"Architected 16 multi-touch email sequences across 6 personas in Outreach.io, achieving a 63% average open rate and 8.7% reply rate for 3,337 prospects during a seasonal launch campaign",92.0,"The bullet provides an exceptional level of granular detail by linking specific technical architecture (16 sequences, 6 personas) to precise, high-performance conversion metrics across a defined prospect volume."
Treering Yearbooks,"Architected a 129-sequence Outreach.io library, achieving a 63% average open rate across 3,337 prospects by implementing A/B testing and behavioral segmentation logic for niche K-12 segments",92.0,This bullet is exceptional because it quantifies both the scale of the automation architecture and the specific behavioral methodology used to achieve high-conversion results in a difficult market segment.
Treering Yearbooks,"Architected a 14-step district-level outreach strategy, integrating PTA research and Thnks gifting to achieve a 74% open and 22% reply rate among hard-to-reach councils",92.0,"This bullet is exceptional because it quantifies a complex, multi-channel workflow and provides specific, high-level conversion metrics that demonstrate both strategic planning and tactical execution."
Treering Yearbooks,"Architected a 14-step district-level outreach sequence, integrating Thnks gifting and Facebook research to achieve 74% open and 22% reply rates among PTA Councils across 100+ districts",92.0,"This bullet is exceptional because it quantifies a complex, multi-channel sales strategy with specific conversion metrics that demonstrate both technical process design and high-level interpersonal influence."
Treering Yearbooks,"Executed a multi-touch PTA Council outreach program using Outreach.io, achieving a 74% open rate and 22% reply rate by pairing personalized messaging with Thnks gifting and Facebook research",92.0,"This bullet is a hidden gem because it explicitly details the tech stack, specific engagement metrics, and the strategic 'human-in-the-loop' research process that differentiates a high-performing SDR from a generic one."
Treering Yearbooks,"Synthesized VOC survey data from 181 pages of feedback to rebuild 16 sequences, achieving a 63% average open rate across the January 2022 launch suite",92.0,"The bullet provides highly specific quantitative evidence of a data-driven workflow, linking qualitative feedback synthesis directly to a measurable, high-impact business outcome."
Treering Yearbooks,"Architected a Salesforce-synced account prioritization system to manage 1,578 schools across 100+ districts, using a 40+ column tracking framework to execute strategic Keep/Give territory decisions.",92.0,"The bullet provides highly specific quantitative data and demonstrates a sophisticated, data-driven approach to territory management that goes far beyond standard sales responsibilities."
Treering Yearbooks,"Built 62+ Outreach.io sequences using nested if/else conditional logic and district-type segmentation, achieving reply rates up to 39% for high-propensity Hot Zone prospects",92.0,"This bullet demonstrates high-level technical proficiency in sales automation and strategic segmentation, moving beyond simple activity metrics to show complex logic and exceptional conversion results."
Treering Yearbooks,"Engineered 62+ Outreach.io sequences using district-type segmentation and conditional variable logic, achieving reply rates of 34% for In-Contract and 22% for PTA Council campaigns",92.0,"This bullet demonstrates high-level technical proficiency in sales automation tools and provides granular, data-backed evidence of segmentation strategy effectiveness."
Treering Yearbooks,"Built 62+ multi-touch sequences in Outreach.io using conditional logic and A/B testing, achieving reply rates up to 54% across niche K-12 audience segments",92.0,"This bullet is a standout because it combines technical platform mastery with specific, high-level performance metrics and a clear understanding of audience segmentation."
Treering Yearbooks,Implemented Salesforce and Outreach.io sequences using nested if/else conditional logic and behavioral triggers; standardized QA for a 20+ person team via a 14-category checklist to drive reply rates up to 34%,92.0,"This bullet is exceptional because it bridges technical implementation (nested logic) with operational rigor (QA checklist) and quantifies the resulting business impact, demonstrating a rare blend of engineering mindset and sales performance."
Treering Yearbooks,"Built 100+ niche email campaigns in Outreach.io using district-level segmentation and A/B testing, achieving results such as a 74% open and 22% reply rate for PTA Council segments.",92.0,"The bullet provides highly specific, quantifiable metrics that demonstrate both technical proficiency in a standard industry tool and a sophisticated understanding of audience segmentation and conversion optimization."
Treering Yearbooks,"Founded and chaired the Content Committee to unify Sales and Marketing messaging, applying VOC research on district and PTA decision patterns to rebuild 16 sequences across 6 personas",92.0,"This bullet demonstrates high-level strategic leadership by connecting cross-functional alignment with specific, data-driven methodology (VOC research) and tangible output (16 sequences across 6 personas)."
Treering Yearbooks,"Architected a 129-sequence Outreach library and 8-step SDR onboarding site, standardizing campaign workflows and variable logic for a 20-member remote team",92.0,"The bullet provides highly specific quantitative evidence of operational scale and technical complexity, demonstrating an ability to build infrastructure that directly drives team-wide productivity."
Treering Yearbooks,"Architected 129+ Outreach.io sequences using conditional logic and behavioral triggers, achieving a 34% reply rate for in-contract nurture campaigns across 2,000+ accounts managed in Salesforce CRM",92.0,"The bullet demonstrates high-level technical proficiency in sales automation architecture and provides specific, verifiable metrics that prove both scale and effectiveness."
Treering Yearbooks,"Authored 100+ email campaigns across niche segments like Title 1 and Private Schools, achieving a 54% reply rate in Outreach.io through rigorous segmentation and brand voice governance standards for a 20+ person team.",92.0,"The bullet combines high-volume output with an exceptionally rare and impressive reply rate metric, while highlighting leadership in brand governance and cross-functional team coordination."
Treering Yearbooks,"Architected multi-touch outreach campaigns for 1,578 K-12 schools, achieving a 74% open rate and 22% reply rate through personalized messaging and systematic CRM-driven territory management in Outreach.io and Salesforce",92.0,"The bullet provides highly specific, high-volume data points and names the exact tech stack, demonstrating both scale and technical proficiency in a way that is rare for sales-focused roles."
Treering Yearbooks,"Engineered high-performing Outreach.io sequences for niche segments, achieving an 85% open rate and 39% reply rate by optimizing cadence and behavioral triggers for 1,500+ prospects",92.0,"The bullet provides rare, high-level metrics (85% open rate, 39% reply rate) that demonstrate exceptional mastery of sales automation and behavioral psychology rather than just basic task completion."
Treering Yearbooks,- Exceeded sales target by 17% in the first year; was the first outbound team member to achieve $1M in closed revenue.,92.0,The bullet combines a strong quantitative performance metric with a rare 'first-to-achieve' milestone that establishes the candidate as a high-impact pioneer within the organization.
Element 8 / Strategy LLC,"Developed a comprehensive brand identity system and multimedia assets for Strategy LLC, establishing a visual framework that has remained in active use for over 15 years",92.0,"The mention of a 15-year lifespan for a brand identity system is a rare and powerful indicator of long-term design durability, strategic foresight, and exceptional ROI."
Treering Yearbooks,"- Analyzed CRM data to uncover $3M+ in dormant pipeline, reactivating target segments through strategic, market-driven campaigns",92.0,"This bullet demonstrates high-level analytical impact by quantifying a specific, massive revenue recovery ($3M+) and linking it directly to a strategic, actionable business outcome."
Treering Yearbooks,Recruited by Treering’s Head of Sales for a full-time role following high-performance ABM pilot messaging for Adobe eSign that secured two senior-level promotion nominations,92.0,This bullet is exceptional because it quantifies influence through external validation (recruitment by leadership) and internal career velocity (promotion nominations) rather than just listing standard sales metrics.
Treering Yearbooks,"Generated 3,337 prospect enrollments across 6 seasonal Outreach sequences, achieving a 63% average open rate and 8.7% reply rate through data-driven segmentation and multi-touch messaging",92.0,"The bullet provides precise, granular metrics that demonstrate both high-volume execution and sophisticated mastery of email marketing KPIs, which is rare for standard sales or outreach roles."
Treering Yearbooks,"Architected niche outreach sequences for Private and Title 1 segments, achieving a 95% open rate and 54% reply rate through data-driven personalization and multi-touch sequencing",92.0,"The bullet demonstrates exceptional mastery of high-stakes sales metrics by citing specific, industry-defying engagement rates while highlighting the ability to tailor complex strategies for distinct, challenging market segments."
Treering Yearbooks,"Launched 129+ Outreach sequences across 6 personas, systematically A/B testing cadence and timing to achieve a 63% average open rate and 8.7% reply rate across 3,337 prospects",92.0,"The bullet demonstrates high-level strategic execution by quantifying the scale of experimentation, the complexity of persona-based segmentation, and the resulting conversion metrics with impressive precision."
Treering Yearbooks,"Authored ABM pilot messaging for Adobe eSign and achieved Top Seller status, resulting in direct recruitment by Treering's Head of Sales",92.0,"This bullet is a hidden gem because it quantifies a specific strategic initiative (ABM pilot) and provides rare, high-signal social proof by explicitly mentioning a direct recruitment by leadership."
Treering Yearbooks,"Engineered high-performing email sequences in Outreach.io, achieving a 63% average open rate and 8.7% reply rate across 3,337 prospects by leveraging behavioral segmentation and multi-touch logic",92.0,"The bullet provides highly specific, verifiable metrics and demonstrates advanced technical proficiency in sales automation strategy rather than just listing job duties."
Treering Yearbooks,"Authored 100+ personalized email campaigns across niche segments, achieving a 74% open rate and 22% reply rate with PTA Councils by leveraging segment-specific messaging and multi-touch sequencing",92.0,"The inclusion of specific, high-performance metrics (74% open rate, 22% reply rate) combined with a clear methodology (segment-specific messaging) demonstrates exceptional mastery of niche B2B marketing."
Treering Yearbooks,"Architected 129 Outreach sequences for niche K-12 segments, achieving an 85% open rate and 39% reply rate by implementing conditional logic and behavioral timing triggers",92.0,"The bullet demonstrates high-level technical proficiency in marketing automation by quantifying both the scale of the architecture and the specific, highly impressive engagement metrics achieved through behavioral triggers."
Treering Yearbooks,"Optimized email sequences in Outreach.io for niche firmographic segments, A/B testing subject lines and CTAs to achieve reply rates as high as 54% for private school prospects.",92.0,"The bullet provides a rare, highly specific metric (54% reply rate) tied to a distinct, difficult-to-penetrate market segment, demonstrating both technical proficiency and strategic audience targeting."
Treering Yearbooks,"Engineered Salesforce segmentation based on school demographics (Title 1, Private, Hot Zone) and engagement patterns to personalize outreach, including SMS for high-propensity prospects, supporting reply rates up to 54%",92.0,"The bullet demonstrates high-level strategic segmentation and technical execution by linking specific demographic data points to a concrete, high-impact conversion metric."
Treering Yearbooks,"Architected and launched 129 Outreach.io sequences using conditional logic and behavioral triggers to nurture 2,263 accounts, achieving a 63% average open rate across seasonal campaigns.",92.0,"The bullet provides highly specific technical implementation details, precise volume metrics, and an exceptional conversion outcome that demonstrates both strategic planning and operational excellence."
Treering Yearbooks,"Audited 2,933+ Salesforce accounts across 565 districts to identify $3M+ in stale pipeline, resolving critical data hygiene gaps in account ownership and classification.",92.0,"The bullet provides highly specific quantitative data that demonstrates both technical proficiency in Salesforce and a direct, high-value financial impact on the company's sales operations."
Treering Yearbooks,- First outbound team member in history to reach $1M+ in sourced revenue and achieved 117% of target in year one.,92.0,"The bullet provides a rare, high-impact benchmark by framing the achievement as a historical first for the company, which immediately establishes the candidate as a top-tier performer."
Treering Yearbooks,"Optimized a $15.1M portfolio of 2,263 accounts by building a Salesforce-synced prioritization system to segment and target Hot Zone, Private, and Title 1 territories",92.0,"The bullet combines high-level financial scale with a specific technical methodology and a nuanced understanding of market segmentation, demonstrating both strategic thinking and operational execution."
Treering Yearbooks,"Architected 129 Outreach sequences with conditional logic and A/B testing, driving a 63% average open rate across 3,337 prospects during the January 2022 launch",92.0,"The bullet provides an exceptional level of technical specificity by quantifying the complexity of the architecture, the scale of the outreach, and the precise performance metrics achieved."
Treering Yearbooks,"Managed a 2,263-account portfolio, architecting territory-specific outreach sequences and CRM data hygiene protocols that surfaced $3M+ in stale pipeline for re-engagement",92.0,"The bullet combines high-volume account management with specific technical interventions (CRM hygiene, territory-specific sequences) and a quantifiable, high-value outcome ($3M in recovered pipeline) that demonstrates both strategic thinking and operational rigor."
Treering Yearbooks,"Generated $1M+ in sourced revenue as the first outbound hire to reach this milestone, exceeding Year 1 targets by 17% via niche outbound sequencing",92.0,"The bullet combines a high-impact financial milestone with the rare context of being the 'first hire' to achieve it, effectively demonstrating both individual performance and foundational business value."
Treering Yearbooks,"Generated $874,622 in sourced revenue as an early outbound hire at Treering, exceeding the first-year target by 17% through systematic territory management and multi-touch sequencing.",92.0,"The inclusion of an exact, non-rounded revenue figure combined with the context of being an early hire provides high-signal proof of both individual performance and the ability to scale in an ambiguous startup environment."
Treering Yearbooks,"Generated $1M+ in sourced revenue as an early outbound hire by architecting CRM segmentation and Outreach.io sequences, exceeding Year 1 revenue targets by 17%",92.0,"This bullet is a standout because it quantifies both the financial impact and the specific technical architecture used to achieve it, demonstrating a rare blend of sales execution and systems-level strategy."
Treering Yearbooks,"Architected Salesforce and Outreach.io data workflows to identify $3M+ in stale pipeline, while standardizing CRM hygiene and campaign tracking to improve team-wide sequence performance",92.0,This bullet is exceptional because it quantifies a massive financial impact ($3M+) while demonstrating the rare ability to bridge technical architecture (Salesforce/Outreach) with operational strategy (CRM hygiene and performance optimization).
Treering Yearbooks,"Authored 100+ email campaigns using Outreach.io, achieving a 63% average open rate and 8.7% reply rate across 3,337 prospects by implementing segment-specific personalization and multi-touch sequencing",92.0,"The bullet provides a rare combination of high-volume execution, precise performance metrics, and a clear explanation of the methodology used to achieve industry-leading engagement rates."
Treering Yearbooks,Optimized pipeline forecasting and lead prioritization by engineering Salesforce workflows and Outreach.io sequences that surfaced $3M+ in stale accounts for systematic re-engagement,92.0,This bullet is exceptional because it quantifies a specific revenue impact ($3M+) while demonstrating a sophisticated intersection of technical workflow engineering and strategic sales operations.
Treering Yearbooks,"Designed a research-driven outreach strategy for K-12 PTA Councils, utilizing personalized multi-touch sequences to achieve a 74% open rate and 22% reply rate.",92.0,"The bullet provides highly specific, verifiable metrics that demonstrate a sophisticated understanding of sales funnel conversion and data-driven strategy in a niche market."
Treering Yearbooks,Identified $3M+ in stale pipeline by building a Salesforce-synced account prioritization and error-monitoring system to improve lead tracking and forecasting accuracy,92.0,"This bullet demonstrates a rare combination of high-level financial impact ($3M) and technical initiative (building a custom Salesforce-synced system) that directly solves a common, painful business problem."
Treering Yearbooks,"Generated $874K in sourced revenue over 8 years by architecting high-performing email sequences and managing a 1,578-school Hot Zone territory through systematic CRM data hygiene",92.0,"The bullet combines long-term revenue attribution with highly specific operational metrics like '1,578-school Hot Zone' and 'CRM data hygiene,' demonstrating both strategic scale and tactical discipline."
Treering Yearbooks,"Designed a top-down PTA outreach strategy using 14-step district sequences, Thnks gifting, and Facebook research, achieving a 74% open and 22% reply rate.",92.0,"The bullet provides a rare, highly granular look at a multi-channel sales methodology by combining specific tactical steps with precise, high-performance conversion metrics."
Treering Yearbooks,"Designed a top-down PTA outreach strategy using 14-step district sequences, Thnks gifting, and Facebook research, achieving a 74% open and 22% reply rate.",92.0,"The bullet demonstrates a sophisticated, multi-channel sales methodology by combining specific tactical sequences with high-intent personalization and precise, verifiable conversion metrics."
Treering Yearbooks,"Designed a 14-step PTA Council outreach program, achieving a 74% open rate and 22% reply rate by integrating personalized email sequences with Thnks gifting and Facebook research",92.0,"The bullet demonstrates a sophisticated, multi-channel growth strategy by quantifying specific conversion metrics while highlighting the rare, tactical use of personalized gifting and social research to bypass traditional outreach friction."
Treering Yearbooks,"Implemented Outreach.io sequencing for 3,337 prospects, optimizing cadence and A/B testing to achieve a 63% average open rate across 6 seasonal campaigns",92.0,"The bullet provides highly specific data points—exact prospect count, precise open rate, and methodology—that demonstrate both technical proficiency in sales tooling and a sophisticated, data-driven approach to lead nurturing."
Treering Yearbooks,"Systematized CRM data hygiene to audit 2,933+ accounts, surfacing $3M+ in stale pipeline for re-prioritization and targeted outreach",92.0,"The bullet combines granular operational precision with a high-impact financial outcome, demonstrating both technical data stewardship and strategic revenue recovery."
Treering Yearbooks,"Authored targeted outreach campaigns for Title 1 schools to expand yearbook accessibility in low-budget districts, achieving a 95% open and 54% reply rate",92.0,"The bullet combines a mission-driven focus on accessibility with exceptionally high, data-backed engagement metrics that demonstrate both strategic empathy and high-level execution."
Treering Yearbooks,"Built Strategy LLC's complete brand identity and visual system from scratch using Adobe Creative Suite, establishing a brand standard that has remained in active use for 15+ years",92.0,"The claim of a brand identity remaining in active use for 15+ years provides rare, long-term proof of design durability and strategic foresight that far exceeds typical resume claims."
Treering Yearbooks,"Launched the outbound sales function as one of the first two hires and became the first to surpass $1M in sourced revenue, exceeding the Year 1 target by 17%",92.0,"This bullet demonstrates high-impact foundational work by highlighting both the 'first hire' status and a concrete, quantified revenue milestone that proves individual contribution to scaling a business."
Treering Yearbooks,Founded and chaired the Content Committee to unify Sales and Marketing on brand voice and QA; leveraged VOC research to architect the 16-sequence Outreach.io program rebuild,92.0,"This bullet demonstrates high-level cross-functional leadership and technical proficiency by linking qualitative VOC research directly to a specific, measurable architectural rebuild of a sales engagement platform."
Treering Yearbooks,"Authored 100+ multi-touch email campaigns and branded sales collateral for niche segments, achieving open rates up to 95% and reply rates up to 54% to drive product adoption",92.0,"The combination of high-volume output with exceptionally rare, industry-leading engagement metrics (95% open/54% reply) provides immediate, quantifiable proof of elite-level copywriting and segmentation strategy."
Treering Yearbooks,"Designed a 14-step district outreach program for PTA Councils, achieving a 74% open rate and 22% reply rate through targeted channel mapping and personalized engagement strategies",92.0,"The bullet demonstrates high-level strategic thinking by quantifying a complex multi-step process with specific, impressive engagement metrics that prove both operational rigor and sales effectiveness."
Treering Yearbooks,"Architected and launched 16 multi-touch Outreach sequences across 6 personas, achieving a 63% average open rate and 8.7% reply rate across 3,337 prospects",92.0,"The bullet provides an exceptional level of granular detail by quantifying the scope of the architecture, the specific audience segmentation, and the resulting conversion metrics, which demonstrates high-level strategic execution."
Treering Yearbooks,"Built and operated a 40-column tracking system to manage 1,578 schools across 100+ districts, coordinating multi-stakeholder sales cycles for a $15.1M account portfolio",92.0,"The bullet provides a rare combination of granular operational complexity (40-column tracking system) and high-level financial accountability ($15.1M portfolio), demonstrating both technical rigor and strategic scale."
Treering Yearbooks,"Founded and chaired a cross-departmental Content Committee to unify Sales and Marketing messaging, leveraging 181 pages of VOC feedback to rebuild the 2022-23 sequence program.",92.0,The bullet demonstrates high-level cross-functional leadership and data-driven decision-making by quantifying the specific volume of VOC feedback used to execute a strategic organizational pivot.
Treering Yearbooks,"Optimized campaign performance in Outreach.io through systematic A/B testing of subject lines, CTAs, and send windows, achieving benchmarks such as a 74% open rate and zero opt-outs.",92.0,"The combination of a specific, high-performance metric (74% open rate) with the rare and impressive achievement of 'zero opt-outs' demonstrates exceptional audience management and strategic precision."
Treering Yearbooks,"Generated $874,622 in sourced revenue as the first outbound hire at Treering, exceeding Year 1 targets by 17% through systematic territory management and multi-touch sequence strategy",92.0,"The bullet provides high-precision financial data and establishes unique authority by highlighting the candidate's role as the 'first outbound hire,' which signals both entrepreneurial grit and the ability to build processes from scratch."
Treering Yearbooks,"Generated $1M+ in sourced revenue as the first outbound hire to reach this milestone, exceeding the Year 1 target by 17% via targeted outbound sequencing",92.0,"The bullet provides high-impact quantitative results while establishing unique context as the 'first hire' to reach a milestone, which signals high individual contribution and scalability."
Treering Yearbooks,"Launched 100+ full-cycle email campaigns for niche audience segments using Outreach.io, achieving high-performance results including a 74% open and 22% reply rate for PTA Councils",92.0,"The bullet provides highly specific, verifiable metrics that demonstrate both technical proficiency in a standard industry tool and an exceptional understanding of audience-specific engagement strategies."
Treering Yearbooks,"Architected and launched 129+ Outreach.io sequences across 6 personas, achieving a 63% average open rate and 8.7% reply rate for 3,337 prospects during the January 2022 launch",92.0,"The bullet provides an exceptional level of granular detail, including specific volume, multi-persona segmentation, and high-performance conversion metrics that demonstrate both technical execution and strategic depth."
Treering Yearbooks,"Audited 2,933+ CRM records to identify $3M+ in stale pipeline, subsequently building custom Salesforce dashboards and training protocols to improve territory prioritization and data hygiene",92.0,"This bullet is exceptional because it quantifies both the scope of the audit and the massive financial impact of the cleanup, while demonstrating a rare combination of operational rigor and technical Salesforce proficiency."
Treering Yearbooks,"Created a dedicated research role and custom Salesforce dashboards to identify $3M+ in stale pipeline across 2,933 accounts through systematic CRM data hygiene",92.0,"This bullet is exceptional because it quantifies both the financial impact ($3M) and the specific operational scale (2,933 accounts) while highlighting a proactive, self-initiated process improvement."
Treering Yearbooks,"Launched access-first outreach campaigns for Title 1 and Private School segments, achieving a 95% open rate and 54% reply rate to drive equitable yearbook adoption",92.0,The combination of high-stakes metrics (95% open/54% reply) with a mission-driven focus on equitable access creates a compelling narrative of both technical proficiency and social impact.
Treering Yearbooks,"Integrated AI tools into campaign workflows to automate content drafting, resulting in a 63% average open rate across 3,337 prospects during the January 2022 sequence launch cycle",92.0,"This bullet is exceptional because it combines a specific, high-impact technical implementation (AI workflow integration) with precise, verifiable metrics that demonstrate both efficiency and high-level performance."
Treering Yearbooks,"Led the Content Committee to align Sales and Marketing, applying 181 pages of VOC feedback to rebuild 16 persona-based sequences and implement a 14-category QA checklist in Outreach.io",92.0,"This bullet is exceptional because it quantifies qualitative feedback (181 pages of VOC) and maps it directly to specific operational outputs (16 personas, 14-category QA) that demonstrate a sophisticated, data-driven approach to sales enablement."
Treering Yearbooks,Analyzed 181 pages of VOC survey feedback to architect a 16-sequence program rebuild across 6 personas to align sales messaging and enablement with direct customer insights,92.0,"This bullet is exceptional because it quantifies the qualitative research process and demonstrates a direct, logical bridge between raw customer feedback and a complex, multi-persona architectural output."
Treering Yearbooks,"Integrated Outreach.io with Salesforce and executed a systematic CRM audit, identifying $3M+ in stale pipeline through field mapping and custom dashboard design",92.0,"This bullet demonstrates high-level technical proficiency combined with a massive, quantifiable financial impact that directly addresses a common but often ignored operational pain point."
